source,target
P04062,Q8TC12
Q8N4P2,Q15070
Q15678,Q9ULR3
-,Q96HA1
O60341,Q96JG6
Q7Z401,Q9UHB6
P30305,Q14680
Q6IQ23,Q6ZW31
P30307,Q5TCX8
Q9ULR3,Q9Y3M8
Q99496,Q9Y4F3
Q9C0C2,Q9UIV1
Q9HAU0,Q9P244
P05412,Q96P16
Q96S52,Q15057
P52815,P48735
Q6IQ23,P56524
P30305,Q9P2M7
O60573,Q9HCD6
Q9NQT8,Q53ET0
Q8TEH3,P55196
Q96LI5,Q9UKZ1
Q9Y2X7,Q6P5Z2
Q5TCX8,Q8TC76
P61923,Q7Z2W4
Q00536,Q14680
Q5VZ89,Q9BQ89
Q8TEJ3,Q9Y3M2
Q14978,P28340
Q9UGP5,P15927
Q5TCZ1,P55196
Q86SQ0,Q9Y3M2
Q7Z401,Q96QZ7
P49770,Q9Y6E2
Q9NP61,O43314
Q5VIR6,Q53HC9
O60573,Q12923
Q6Y7W6,Q9UJF2
O75044,P55196
Q14161,Q53HC9
P30291,Q9NQT8
P50548,Q504Q3
Q9BZF3,P30307
O95487,Q2KHR3
Q5TCZ1,Q8WUI4
O60573,P55196
Q09666,O43314
Q14966,Q6Y7W6
Q8TEJ3,Q6Y7W6
Q9ULJ3,Q86TI0
-,Q6ZRI6
P55196,O43166
Q8IVT5,Q3MII6
P56545,Q9Y4F3
P49770,Q8NE86
Q96B18,Q9ULJ3
Q5TCX8,Q9UK80
P62910,Q15020
O60341,Q4V328
Q9ULR3,Q8N122
Q5VT66,Q9BQG0
Q96F86,Q9ULJ3
Q9UQ80,P30084
Q8IZL9,Q9H1B5
Q6IQ23,Q9UPQ3
Q9UI10,Q8NE86
Q86YD1,O94776
O75153,Q8N5L8
Q9UBG3,P06744
Q9UKN8,A3KN83
O60341,Q86Y13
Q9UKX7,Q504Q3
O43670,P06744
Q86UE8,Q53SF7
Q3V6T2,Q2KHR3
Q9NQT8,Q9NPI6
Q7Z401,Q96S53
Q9UHB6,P55196
P56524,O43896
P55196,Q96QZ7
Q9BZF3,Q6Y7W6
Q96F86,Q8IVT5
P30084,Q12931
O60573,Q86X27
P55196,Q96S53
Q9HCD6,O43166
Q00536,Q9P2M7
O75044,Q8WUI4
P55196,O15075
Q14966,Q8NEY1
Q9UNM6,Q9ULD6
Q9NQT8,Q8IZD4
-,Q58A45
Q99856,Q9Y2I1
P21359,Q6IQ23
Q13247,P84103
Q99567,O95487
Q9UID3,Q567U6
Q8TEH3,Q6PKG0
P30305,Q6IQ23
Q14966,P55196
Q9NRA8,P50548
Q12923,O43166
P21359,O43896
Q8TEH3,Q9HAU0
Q6NT76,Q9BWV3
Q9UI10,Q9Y6E2
Q7Z401,O15075
Q9NXV2,Q15599
Q9UQC2,Q9P2M7
Q6UUV7,Q9P2M7
P30419,Q5VWT5
Q9BZF3,P21359
Q14566,Q00613
Q8IZV5,Q14964
Q8IVT5,Q9UQL6
Q96P70,P27105
Q3MII6,Q9P0V3
P08579,P06737
Q08AD1,Q9UJF2
Q15678,Q9UHB6
O43482,Q9UID3
Q9NXE8,O75420
Q00536,Q6IQ23
Q9ULJ3,Q9BZ23
P56545,-
Q3MII6,Q9ULJ3
Q8WUY9,Q8WXF0
Q9NYF3,O95544
Q69YU3,O95544
Q9UQC2,Q9BQ89
Q86SQ0,O95544
P61106,P21964
Q14978,A6NI56
Q9UQ80,Q9UHB9
Q9BST9,Q8WUI4
Q3KNV8,Q9Y2I1
O60271,Q6IN85
Q5TCZ1,Q9HAU0
Q5TCX8,Q6Y7W6
O14757,O75420
P55196,Q8WXF0
O60573,Q9BZF3
P55196,Q6ZW31
O75420,O60333
Q8N3F8,Q9ULJ3
Q5VT66,Q02338
Q8WUY9,Q6ZW31
Q8WXF0,O43896
Q9UID3,Q96BD5
Q9ULJ3,Q6NUK4
Q9NRA8,Q9UKX7
Q96N66,Q15057
O43447,Q9NTK5
Q5TCZ1,Q6PKG0
Q9UPQ3,P55196
Q9UHB9,Q12931
Q86X27,O43166
Q8IVT5,Q86TI0
P30305,P55196
P30307,Q13009
Q86SQ0,Q9BQ89
Q00536,P55196
O75044,Q9HAU0
O60271,P30291
Q6P2Q9,O95400
Q6IQ23,Q9Y3M2
Q96F86,O75420
P43686,Q9ULD6
Q8IVT5,Q96B18
Q08AD1,Q5TCX8
O15145,A6NGG8
P61960,A6NGG8
Q5JRX3,A6NGG8
Q9Y3M2,O43896
Q9BZF3,Q9BQK8
Q9NRR6,O75420
Q14680,Q8TC76
Q92733,Q9H8Y8
O60307,Q8WUI4
Q8IVT5,Q9BZ23
Q8N4P2,Q9UPY5
Q9NR45,Q7KZF4
Q8WUY9,Q9UPQ3
Q9UQB8,Q9Y597
O60573,Q8WUI4
Q5TCX8,Q69YU3
Q5TCX8,Q9NYF3
Q15678,Q96S53
Q14566,Q9P260
Q5VZ89,Q9UQC2
P55196,Q8TC76
Q08AD1,Q8WXF0
Q9Y597,Q6UUV9
P52815,P30101
Q9UK80,P55196
Q86Y13,Q53HC9
Q9UKN8,Q9UQE7
P30305,Q8WUY9
Q9BRX9,O75695
P04062,Q9BSJ8
Q6PKG0,O75044
Q9BZF3,O43166
O43896,Q6ZW31
Q8IVT5,Q6NUK4
Q9Y295,Q7Z2W4
Q15459,Q7KZF4
Q9UK80,Q14680
Q9Y3M8,Q9UHB6
P21359,Q8TC76
Q8WUA4,Q9Y4E8
Q9NYF3,P55196
Q69YU3,P55196
O43166,Q8WUI4
Q9UJF2,Q8TC76
O60341,Q5VIR6
Q00536,Q8WUY9
Q9ULJ3,Q6UUV7
Q5R372,Q15276
Q9UN30,A0JNW5
Q15276,Q8TBA6
Q9UHB6,Q8N122
Q9BZF3,Q9Y3M2
Q15678,O15075
Q4V328,Q53HC9
O60573,Q9HAU0
Q86X27,Q9UJF2
P35080,Q86VW0
P05412,Q7Z4H7
Q9BPZ7,Q6Y7W6
Q13144,Q14232
Q9BPZ7,Q6IQ23
P19838,Q9C0C2
Q9HAU0,O43166
Q9Y3M8,Q96QZ7
Q15276,Q96A65
Q9P0V3,Q9BQ89
Q6ZRI6,Q504Q3
Q13009,Q9BQ89
Q7Z401,Q14966
O15226,Q7L2E3
P55196,Q9BQ89
Q1MSJ5,Q16533
Q9H4I9,Q9NR50
Q9UQC2,P56524
P19838,Q9UIV1
Q9UK80,Q9UJF2
O43447,P62910
Q9ULJ3,Q53ET0
O60341,O00233
Q96F86,Q9P244
Q9UQC2,Q9BPZ7
P48735,Q9UBG3
Q9UBC2,Q9UQ88
Q8N122,Q96QZ7
Q7L804,Q9P244
Q9BPZ7,Q14680
P49736,Q6IN85
Q9ULR3,Q8WUY9
O43670,P48735
Q9Y295,Q16181
O60307,Q8WUY9
Q5T0U0,Q6P5Z2
P62195,O15066
Q9BST9,Q8WUY9
P21359,Q9UK80
Q9Y3M2,Q8TC76
Q8TEJ3,Q9UHB6
Q9UKL0,Q53HC9
Q9UID3,Q6NZI2
Q08AD1,Q6ZW31
P08579,O75937
Q9Y371,Q9NVA2
P08579,P13797
Q08AD1,Q13009
Q9Y3M8,Q96S53
O60341,O15516
Q9NYF3,Q9P0V3
Q69YU3,Q9P0V3
Q9UPQ3,O43896
Q00535,Q9NVA2
Q9NRA8,Q6ZRI6
Q9BST9,Q9NRR6
P08758,Q16630
P30291,P49736
O15460,P07237
Q5TCX8,Q13009
Q9Y3D7,Q8N8R3
Q9NP66,Q53HC9
O60573,Q6PKG0
P21359,Q8NEY1
Q53HC9,Q96JG6
Q9UK80,Q9P0V3
Q9NXN4,Q6BDS2
Q9BSE5,Q9BRZ2
Q8WUY9,Q8TC76
Q6NSJ2,Q9UID3
Q96GD4,Q9BPX6
Q9P0V3,Q8TC76
Q96DX4,O76083
Q9NYF3,Q14680
Q69YU3,Q14680
Q8IVT5,Q53ET0
Q9H1B5,Q9Y6J9
Q9Y3M8,O15075
Q14161,Q15276
O96005,Q8TCJ2
Q15678,Q14966
Q5TCX8,Q9UJF2
Q8WUY9,Q9UK80
Q6PKG0,O43166
Q8NDI1,Q15057
Q6IQ23,Q8TC76
P30305,O43896
P31150,Q15057
Q9UL63,B2RC85
O95677,Q2KHR3
Q5VSY0,Q9H8V3
Q96F86,Q8TEH3
Q8IVT5,Q6UUV7
Q9NVA2,Q92733
Q6NSJ2,P05412
Q9UK80,Q9Y3M2
Q8N122,Q96S53
P56524,Q8NEY1
Q13009,Q9UJF2
Q00536,Q9P0V3
Q13009,Q6Y7W6
P30305,Q9P0V3
Q3MII6,P55196
P33991,Q6IN85
Q9H4W6,Q9Y4F3
Q15276,O15516
Q9UPQ3,Q9P0V3
Q8TEJ3,Q96QZ7
Q8IVT5,Q8N3F8
P30084,Q7KZF4
Q96S52,Q16795
Q9Y2X7,Q9HCH0
Q00536,O43896
Q96F86,Q5TCZ1
O14950,Q9UQ80
Q9HAU0,Q9UHB6
Q9P0V3,Q6ZW31
Q9UK80,Q6IQ23
Q9ULB1,A1A4S6
P61019,P21964
P52815,P61088
O14757,Q9P244
Q6IQ23,O95544
Q9P244,O60333
Q9HAU0,Q96QZ7
Q8WXF0,Q9P0V3
Q9Y295,Q92733
Q6ZV73,Q9P2M7
Q9ULR3,Q8WUI4
P30291,P33991
Q96F86,O75044
Q7Z494,O15294
Q5R372,O60341
O60341,Q8TBA6
Q86SQ0,Q13009
P05412,Q6NZI2
Q9NYF3,Q8WUY9
Q69YU3,Q8WUY9
O14950,Q12931
Q9H4I9,P42345
Q9Y3M2,Q8NEY1
Q14566,P53350
Q9UID3,Q7Z4H7
Q15276,O00233
O15075,Q8N122
Q9BPZ7,O43896
Q9HAU0,Q96S53
O43172,Q9Y6H1
Q504Q3,O15116
Q7L804,Q9BST9
Q16181,Q9H8Y8
P30307,O43896
P30419,Q8IU81
Q9Y4F3,Q8IVW6
Q9HAU0,O15075
O43292,Q15057
Q08AD1,Q9UPQ3
Q9NYF3,Q9UJF2
Q69YU3,Q9UJF2
Q96F86,O60573
Q9BZ23,O75420
O75420,Q6NUK4
O95544,O43896
Q3V6T2,Q99567
Q6PKG0,Q9P2M7
Q8WUA4,O60271
Q86SQ0,P30307
Q96F86,O43166
O43172,P35544
Q14966,Q9Y3M8
Q86SQ0,Q5TCX8
Q14966,Q9P0V3
Q96QU8,P42345
Q96JN8,P35249
Q7KZF4,Q9UHB9
Q96QU8,Q6YHU6
P06400,Q3KNV8
Q14241,Q13618
Q14680,P56524
O95619,O43815
Q9Y2Y0,P36405
Q9BST9,Q6PKG0
P54803,Q96JN8
Q13099,Q9Y366
Q9UHB6,Q8WUI4
O15075,Q9P0V3
O60333,Q9P2M7
Q5VIR6,Q15276
Q14966,Q9HAU0
Q96S53,Q9P0V3
P30307,Q6IQ23
Q9UQ80,Q12904
Q9P0V3,Q96QZ7
Q9HCD6,P21359
Q9UBG3,P30101
Q9UHB6,Q9P0V3
Q96QU8,Q9BVC4
Q7L804,O60307
Q8WVS4,Q16629
Q8WUI4,Q96QZ7
O43670,P30101
Q6ZNA1,Q9BTW9
Q9NNX1,O43815
Q9UQB8,Q9NQT8
Q5VZ89,Q9Y3M8
P30305,Q08AD1
O60307,Q6PKG0
Q9UQ88,Q9Y6Y0
Q12923,P21359
Q9HCH0,Q5T0U0
Q5VZ89,Q15678
Q12904,Q12931
Q86SQ0,Q9UJF2
Q92558,Q6DKJ4
Q8TEJ3,P56524
Q5TCX8,Q86X27
Q86SQ0,Q08AD1
O75131,O60841
P62837,Q2KHR3
Q9NYF3,Q6IQ23
Q69YU3,Q6IQ23
Q8TEJ3,Q96S53
O75390,O60841
Q96F86,Q9UHB6
Q9NYF3,P21359
Q69YU3,P21359
Q96S53,Q8WUI4
-,P02787
O43166,Q9P0V3
Q00535,Q9Y295
O60573,Q9P0V3
Q9Y6H1,Q86V81
Q96F86,Q96QZ7
Q9NRR6,O60307
Q3MII6,Q9NQT8
O00203,P25205
Q9Y2L1,Q9NVA2
Q5VSY0,O75153
P30307,Q8WXF0
P30307,Q9HCD6
P11802,Q8WXX5
Q08AD1,Q00536
Q9BQK8,Q9NXE8
Q96F86,Q96S53
Q92878,Q8NCX0
Q7L804,Q8TEH3
Q9Y371,Q9Y295
-,Q9H4W6
O75044,Q9P0V3
Q8WUY9,Q9BQ89
O15075,Q8WUI4
Q96F86,O15075
Q9HC56,Q70UQ0
Q6Y7W6,O43896
Q12923,P30307
Q86V81,P35544
Q5TCZ1,Q9P0V3
P62837,Q86V48
Q8WUA4,P49736
O75420,Q9H019
P21359,Q9Y3M8
Q6PKG0,Q9UHB6
Q8WXF0,Q8NEY1
Q9BZD4,Q9UJ41
O75420,Q53ET0
Q86TI0,Q9P2M7
Q567U6,Q53HC9
Q6PCT2,Q9Y4F3
Q8TEH3,Q9P0V3
Q96BD5,P05412
Q9UID3,Q96P16
Q96PK6,P55081
Q14966,Q8N122
Q96F86,Q14966
Q14978,P55081
Q9NYF3,Q9Y3M2
Q69YU3,Q9Y3M2
O14757,Q8TEH3
Q6PKG0,Q96QZ7
Q5TCX8,Q9BQ89
Q8TEH3,O60333
O96013,Q9Y597
Q6ZV73,Q9ULJ3
Q8WWI1,Q9Y597
Q9H4A3,Q15149
P30307,Q8NEY1
Q9UKI8,Q9P260
O60341,Q9NNX1
Q9BQK8,Q9NRR6
Q9H4W6,-
O43896,Q8TC76
Q8TEJ3,O15075
P50548,Q9Y2I1
Q9UQ80,P35520
Q15678,P56524
Q9NQH7,P16278
Q15678,P21359
O43482,Q53HC9
Q9BQI3,P55081
O95544,Q9BQ89
P46100,P55081
Q96PK6,P28340
Q9P244,Q9P0V3
Q14680,Q9BQ89
Q08AD1,O43896
Q9Y3M8,P56524
P30153,O75915
Q6PKG0,Q96S53
O43482,P05412
Q6IQ23,Q6Y7W6
Q7L804,Q5TCZ1
Q08AD1,Q6IQ23
Q9UQC2,Q3MII6
Q9P244,Q6NUK4
Q8NEY1,Q6ZW31
Q86SQ0,Q6Y7W6
P35520,Q12931
P06280,Q9ULM6
Q9Y3M8,Q9Y3M2
Q9UK80,O43896
Q14966,Q8WUI4
Q9HAU0,Q8WXF0
Q9ULR3,Q6PKG0
Q9HCD6,Q9Y3M2
Q5TCZ1,O14757
P30307,Q6ZW31
Q5TCZ1,O60333
Q6PKG0,O15075
Q8WUA4,P33991
Q9P244,Q9BZ23
P61088,Q9UBG3
Q9HAH7,Q3KNV8
Q96BD5,Q53HC9
O43670,P61088
Q9UBC2,Q06945
Q9BQK8,Q8N122
O95292,Q4G0X9
Q567U6,P05412
O75420,Q9P0V3
Q9HAU0,Q6ZW31
Q12923,Q9Y3M2
Q9BZ23,Q9P2M7
Q86V81,P62312
Q96EK4,Q9UJ41
O75131,P06744
Q9UQC2,P21359
Q6ZS17,Q13402
Q9HCD6,Q6Y7W6
O75390,P06744
Q15678,Q9Y3M2
Q9Y597,Q6P597
O14950,Q7KZF4
Q86TI0,O75420
Q9ULR3,Q3MII6
Q9UQB8,Q9ULJ3
Q86Y13,Q15276
Q7Z401,P56524
Q7L804,O75044
Q9C0E2,Q6YHU6
-,Q8IVW6
O95677,Q8TCY9
Q9UI10,P52565
Q86SE9,Q9BY89
Q9UKX7,Q9Y2I1
Q12923,Q6Y7W6
O14757,O75044
O75044,O60333
Q96F86,Q8WXF0
Q13009,Q6IQ23
Q9BPZ7,Q8NEY1
Q9HAU0,Q9UPQ3
Q9ULJ3,Q9NPI6
Q9BZF3,P56524
P30291,Q9P2M7
Q96GQ5,Q5VT66
Q9BZF3,Q08AD1
O60307,Q9HAU0
O95544,Q8NEY1
P06737,O60841
O95684,Q5T1M5
Q9BST9,Q9HAU0
Q8N4P2,Q8WUY8
Q8TEJ3,Q9BPZ7
Q9UID3,O00327
Q5TCX8,Q6IQ23
Q5R372,O43815
Q8TBA6,O43815
Q9C0E2,Q9BVC4
Q9BQK8,Q9UJF2
Q96F86,Q6ZW31
Q9ULR3,Q9HAU0
P30305,Q9HAU0
Q15276,Q4V328
P0C2W1,P35249
Q8IVT5,Q9P0V3
Q15181,P13797
Q15678,Q8WXF0
Q9UPQ3,Q8NEY1
Q96B18,O75420
Q9BST9,O60333
Q9H4L5,Q9Y597
Q6Y7W6,Q8NEY1
Q9UQC2,O95544
Q9UHI6,P25205
P53701,Q8NHH9
P0C2W1,P54803
Q9P202,Q8N5D0
Q00536,Q9HAU0
Q504Q3,Q99496
Q53ET0,Q9P2M7
Q14966,Q6PKG0
Q9ULJ3,Q9P0V3
Q8IVT5,Q9UQB8
Q9NR56,P52747
Q96F86,Q9UPQ3
O14950,Q16630
Q7Z401,P21359
Q9NR56,Q8IU81
Q6IQ23,Q9UJF2
Q9Y3A3,Q6P5Z2
Q9UQC2,Q9Y3M2
Q6ZNA1,Q9NUJ3
P05455,Q8WWY3
Q9Y6A4,P62318
Q96F86,P30305
P08758,Q15459
Q9NQT8,Q6UUV9
Q96BY7,Q14566
Q5T1M5,O76074
Q96F86,Q00536
P31930,P35610
Q504Q3,Q96HA1
Q2M2I8,Q9H4A3
O60307,O60333
P33121,Q02338
Q7Z401,Q8WXF0
P30305,Q8NEY1
Q8IZD4,Q9P2M7
Q15678,Q6ZW31
P08579,Q16630
P0C1Z6,Q5T0U0
P30307,Q9Y3M8
Q5TCX8,O43896
Q9NYF3,O43896
Q69YU3,O43896
Q7L804,Q9ULR3
Q9H4W6,Q504Q3
O96013,Q9NQT8
P48729,O75420
Q12904,Q7KZF4
Q9UKL0,Q15276
Q9C0E2,P42345
Q9UNA1,Q6PD62
Q9P244,Q53ET0
Q13009,O43896
Q9UHD1,Q9NVA2
-,Q9HAH7
Q5VZ89,P30291
Q9UJF2,O43896
O60573,O60333
O60573,O14757
Q6P597,Q9NQT8
Q9NQT8,Q9P0V3
Q07617,Q8N5I9
Q8IVT5,Q6ZV73
Q9BZF3,Q9UHB6
Q96QF0,P55196
P48380,Q9H845
Q7Z401,Q9Y3M2
P48380,Q92769
Q6V1X1,Q13671
P51809,P30153
Q6VY07,P23470
O00311,Q9HBG6
Q14680,Q9Y3M2
Q8TAF3,Q9Y6N9
Q9NRR6,Q9P244
Q7Z494,O76083
Q9NRR6,Q6Y7W6
Q9UKJ5,P61088
P61088,Q96RN5
P30307,Q9NRR6
Q9Y3M2,Q8WUI4
Q9BU61,Q9HBG6
Q5VZ89,Q9NRR6
Q01968,P60228
Q96AC1,Q6ZW61
Q9Y6N9,Q495M9
Q8NE71,Q68CZ1
Q9C0E8,Q8N4P2
Q16650,Q96G75
Q9Y3M2,Q9BQ89
P12694,Q9UGP5
Q9Y6A4,Q92665
Q7L804,Q9Y3M2
P11234,Q96CS2
P61088,O75131
O75390,P61088
Q8WUY9,Q9Y3M2
Q14974,P27105
Q8N4P2,Q5BJD5
Q9Y3M2,Q8N122
Q01968,Q8WV41
Q9P0L0,Q4G0X9
Q9UBC2,Q00613
Q14966,Q96QF0
Q8TF09,Q6P1K8
P50552,A6NGG8
P61088,P06737
Q9NWU2,P22532
Q13243,Q8NAV1
Q8N4P2,P61026
Q6PKG0,Q9Y3M2
P04637,Q9NZN9
Q13098,Q9Y6N9
Q9NRR6,P21359
Q5SW79,P68400
Q9ULR3,Q9NRR6
Q9Y3M2,O60333
Q9BW83,Q9UG01
P61088,Q12874
Q9HAU0,Q9Y3M2
O75937,P61088
Q9Y6Y0,Q00613
Q9NRR6,Q9Y3M2
Q9UBC2,P53350
Q8TEJ3,Q9NRR6
Q8TEH3,Q9NRR6
Q9BZ23,Q9Y3M2
Q9H6L2,Q15063
Q07002,Q96QF0
Q8WVS4,O95218
O15027,Q9NZN9
O75161,O75153
Q13049,Q8TEL6
Q9Y3M2,Q6NUK4
Q7Z494,Q8TAD7
Q96FJ2,P63208
Q9Y3M2,Q53ET0
P52429,Q9NQC8
Q9Y6Y0,P53350
O14757,Q9Y3M2
O75306,Q9UL63
Q96QF0,O15075
Q96F86,Q9Y3M2
P55196,Q9Y3M2
Q9GZR7,Q9NWB7
Q9BR76,Q9NWB7
P31146,Q9NWB7
Q5TCZ1,Q9NRR6
Q9UKN8,Q00613
Q16254,P11802
O60828,P62140
Q96FJ2,Q13409
O95167,O75800
O14818,Q96G75
P48380,Q7Z7H5
Q15599,P35221
Q96QF0,Q96S53
Q08211,Q01968
P61088,Q16630
Q9NRR6,O75044
Q08AD1,Q9NRR6
O75161,Q9H8V3
Q9UQB8,Q9Y3M2
Q9Y262,Q7Z4L5
Q9BSD7,Q9P2L0
Q92558,Q9NZN9
Q9UKN8,P53350
P10644,Q15051
Q96QF0,Q96QZ7
Q9NRR6,Q9HCD6
Q96F86,Q96QF0
Q12923,Q9NRR6
Q8WWI1,Q9Y3M2
Q9P2J5,O75665
Q13586,O00471
Q01968,P53680
Q96QF0,Q9UHB6
Q96QF0,Q6P597
Q9H4L5,Q9Y3M2
Q6P597,Q9Y3M2
O60573,Q9NRR6
P62158,P22830
Q9Y6N9,Q8TBZ3
Q9Y3M2,Q6UUV7
P61088,Q15459
Q9NWT6,Q9Y283
O14639,Q9Y3M2
Q9BZF3,Q9NRR6
Q9NRR6,O43166
Q6ICG6,Q96QF0
P49815,Q9Y3M2
Q9Y3M2,Q9P0V3
Q9NRR6,P56524
Q96G75,P62256
Q9Y6A4,O00629
O96013,Q9Y3M2
Q8WUM0,Q68CZ1
P30084,P61088
O75116,Q9NQ48
Q9NRR6,O95544
Q96QF0,Q5EBL8
Q9ULB1,O00294
Q9UNA1,O00294
Q5EBL8,Q9Y3M2
O14681,P27105
Q96QF0,Q8WUY9
Q8NBU5,Q68DC2
P61088,Q9UHB9
Q96QF0,Q9Y2U5
Q7L5Y9,Q96ER9
Q01968,Q96CW1
P51157,O60911
P36405,Q9H501
Q9NXN4,Q9Y3M2
Q96BP2,Q9Y3M2
Q6BDS2,Q9Y3M2
P48380,Q92949
Q9H1B5,Q92949
Q3MII6,Q9Y3M2
Q6PI48,Q8NFJ9
Q12888,Q8NAV1
Q9Y3M2,Q6UUV9
Q7Z494,Q96DX4
Q9Y3M2,Q7Z460
Q15125,P27105
Q9Y3M2,Q9H6H4
Q9Y3M2,Q5VWQ8
O43822,P04004
Q9UJZ1,P27105
P54132,P51957
Q14683,Q00613
Q6NSI4,Q9NZN9
O14950,P61088
Q9NX63,P61006
Q9H3R5,Q4G0X9
Q9UQC2,Q96QF0
Q9UPN4,Q8WXW3
Q86TI0,Q9Y3M2
Q9NXE8,Q9Y3M2
Q9Y2U5,Q9Y3M2
Q13247,Q8NAV1
P61088,Q12904
Q5JVL4,Q96BR5
Q07866,Q9Y3M2
Q9Y6R0,Q9Y3M2
Q96QF0,Q9HAU0
P61088,P35520
Q7Z494,Q96PY5
Q9Y256,Q96RK4
P53350,Q14683
Q8N4P2,P56385
Q92845,P82663
Q9Y3M2,P10398
Q8NEZ3,O75880
Q9Y3M2,P40818
Q9NRR6,Q9UJF2
Q9NRR6,Q9UHB6
Q6P656,O43683
Q7Z494,O60658
Q9UQM7,P81877
Q96QF0,P40818
Q9ULD6,Q9UNF1
Q9NRR6,Q96QZ7
Q9NWB1,Q9BXC9
Q96QF0,P10398
Q9Y3M2,Q9H019
P10619,P08670
P09429,P61088
Q93073,Q9H871
Q9ULD6,Q96TA2
Q07617,Q8NAV1
Q9UGP5,P27694
O60825,Q9Y3M2
Q5TCX8,Q9NRR6
P36405,Q14191
Q07002,Q9Y3M2
Q9NRR6,Q96S53
Q96QF0,Q9Y6R0
Q2M1P5,Q8TF09
Q9Y3M2,Q9NPI6
O96013,Q96QF0
Q96B18,Q9Y3M2
Q96QF0,Q9UBF8
Q9NRR6,O15075
P48729,Q9Y3M2
P61962,P63208
Q8TDR0,Q96LB3
Q8WYA0,Q9Y366
Q7Z494,Q13237
Q9UPZ9,Q9NRG4
Q9BPZ7,Q9NRR6
Q12769,P04049
P48556,Q8N3I7
Q9Y2D4,Q96KP1
Q9NW82,Q8NAV1
Q9Y3M2,Q9UQL6
Q96QF0,O43166
P51157,A2RUR9
Q9Y3M2,Q08AE8
Q9NRR6,Q13009
Q14C86,Q00613
P59998,P61088
Q6ICG6,Q9Y3M2
Q9NRR6,O43896
P41250,P61088
Q9Y277,P27105
Q14966,Q9NRR6
Q9NRR6,Q8NEY1
Q8NB91,Q15435
Q9NW38,Q15435
Q15435,Q6VY07
O60573,Q96QF0
Q8TDX7,Q8TD19
O60645,Q13445
Q9P202,O15084
Q8N5I9,Q8NAV1
Q8N3F8,Q9Y3M2
Q9NRR6,Q6IQ23
O94973,Q01968
P47974,Q9Y3M2
Q7Z309,Q9Y3M2
P61088,P56381
Q14153,Q9Y3M2
Q7Z494,Q9ULE6
Q9Y3M2,P11908
Q86SQ0,Q9NRR6
P35610,P27105
O75665,Q15046
Q13188,O15066
Q9NRR6,Q9Y3M8
P62140,Q9H6T3
Q8IW35,Q92673
Q96QF0,Q9H6H4
Q96K37,Q9Y366
O95573,Q8NEZ3
Q8IY31,Q96LB3
Q96B36,Q9Y3M2
P28331,P27105
Q16718,Q9H7D7
P63000,Q9ULV0
P63000,Q9HBH1
Q15678,Q9NRR6
Q7Z401,Q9NRR6
Q6ZV73,Q9Y3M2
O15371,P04049
Q8WYA0,Q9BW83
O15014,O00471
P63000,Q12965
Q96ND0,Q9Y366
Q5JU85,P63000
P67870,Q5SW79
P63000,Q7Z3V4
Q86WT1,Q9Y547
P63000,P15735
P17844,Q8IUR7
P63000,Q96H55
Q6WKZ4,Q9Y3M2
P62158,P60660
Q99759,Q9Y3M2
Q9NRR6,Q9NXE8
P78395,Q9BUN5
Q6VY07,Q0VG06
O60825,Q96QF0
P51157,O75330
Q96QF0,O75044
Q16186,P61088
P17980,Q9ULD6
Q96QF0,Q96B36
Q15942,P61088
P35610,Q9UL63
Q7L804,Q9NRR6
Q9Y3M2,Q9UBF8
Q9P202,-
O00203,Q8NAV1
O43524,Q9Y3M2
P18206,P61088
P17612,P61088
P61088,P99999
Q9BPZ7,Q96QF0
Q8WWI1,Q96QF0
Q9NRR6,Q8N122
P30291,Q9Y3M2
Q9Y3M2,Q92934
Q9H773,Q6P656
Q8NHQ8,Q96QF0
Q8IZ07,P27105
Q86SQ0,Q96QF0
P51157,Q2M1P5
P41252,O75665
Q9NSK0,Q9Y3M2
Q7L2H7,P61088
Q9Y3M2,Q8IZD4
Q9HD45,P27105
P43246,Q68CZ1
O43303,O95347
Q13547,Q92949
O60282,Q9Y3M2
Q9ULD6,P09543
Q96QF0,Q9UQB8
Q9NRR6,Q8WUI4
Q96G75,P53701
Q96QF0,Q14680
Q9NXV2,O43822
Q9BV68,Q8NFJ9
Q9Y2Y0,Q9Y6A4
Q5TCZ1,Q96QF0
Q9Y2R5,Q92845
Q9NRR6,Q9H019
Q9UG01,Q9NQC8
P62258,Q5SW79
Q9ULD6,Q9BT04
Q8WYA0,Q8N4P2
P48380,Q9Y6A4
Q9NQH7,Q96NL8
P20794,Q9UPZ9
Q8WYA0,Q86WT1
O75161,Q92834
O75161,P51957
Q7Z494,P36405
Q8N427,Q8IY31
P63000,P27105
Q6ZW61,A2A3K4
Q96QF0,P61006
Q9P2H3,Q9BW83
Q68DC2,Q86SG6
P62140,Q6VY07
Q96QF0,Q9Y3M2
Q9Y6N9,Q15599
P43034,Q15691
Q8N4P2,Q9BW83
Q96G75,Q9UL63
Q9Y6A4,Q92949
Q9P2H3,Q86WT1
Q9H871,Q96G75
Q6ZW76,Q86SG6
Q92834,P51957
Q8TDX7,Q86SG6
P63000,Q15051
Q8IW40,Q8NDW8
Q8WYA0,Q9H7X7
Q9H7X7,Q9UG01
Q9Y6A4,Q8NAV1
Q8TAM2,Q9NQ48
Q96G75,Q6VN20
Q96G75,P61006
Q8WXW3,Q15599
Q92845,Q5SW79
P51157,Q00613
Q9P202,Q9NQH7
P61962,Q96FJ2
Q96FJ2,Q8WVS4
