disorder;gene_symb
infantile epileptic encephalopathy;PCDH19, KIAA1313, EFMR, EIEE9, ARHGEF9, PEM2, KIAA0424, EIEE8, CDKL5, STK9, ISSX, EIEE2, SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3, SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D, SLC25A22, GC1, EIEE3, STXBP1, UNC18, EIEE4, PNKP, PNK, MCSZ, EIEE10, MCSZ, SPTAN1, NEAS, EIEE5, KCNQ2, EBN1, EIEE7, BFNS1, SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS, PLCB1, KIAA0581, PLCB1A, PLCB1B, EIEE12
infantile onset spinocerebellar ataxia;C10orf2, TWINKLE, PEO1, PEOA3, IOSCA, MTDPS7, PRLTS5
infantile refsum disease;PEX12, PBD3A
inflammatory bowel disease;IL6, IFNB2, BSF2, HSF, HGF, NOD2, CARD15, IBD1, CD, ACUG, PSORAS1, ABCB1, PGY1, MDR1, IBD13, CLCs, IRGM, LRG47, IFI1, IBD19, CRFB4, IBD25, IL10RA, IL10R, IBD28
intermediate spinal muscular atrophy;SMN1, SMA1, SMA2, SMA3, SMA4
intrahepatic cholestasis;ATP8B1, FIC1, BRIC, PFIC1, ICP1, ATP8B1, FIC1, BRIC, PFIC1, ICP1, ATP8B1, FIC1, BRIC, PFIC1, ICP1, ABCB11, BSEP, SPGP, PFIC2, BRIC2, ABCB4, PGY3, MDR3, ICP3, ABCB11, BSEP, SPGP, PFIC2, BRIC2, ABCB4, PGY3, MDR3, ICP3, TJP2, ZO2, PFIC4
iridogoniodysgenesis syndrome;PITX2, IDG2, RIEG1, RGS, IGDS2, FOXC1, FKHL7, FREAC3, IRID1, RIEG3
isovaleric acidemia;IVD
juvenile myelomonocytic leukemia;ARHGAP26, GRAF, NF1, VRNF, WSS, NFNS, PTPN11, PTP2C, SHP2, NS1
juvenile myoclonic epilepsy;EFHC1, FLJ10466, EJM1, JAE, EJA1, EFHC1, FLJ10466, EJM1, JAE, EJA1
juvenile polyposis syndrome;BMPR1A, ACVRLK3, ALK3, MADH4, DPC4, SMAD4, JIP, MYHRS
juvenile rheumatoid arthritis;IL6, IFNB2, BSF2, HSF, HGF, MIF
juvenile spinal muscular atrophy;SMN1, SMA1, SMA2, SMA3, SMA4, SMN2
keratoconus;VSX1, RINX, PPCD1, PPD, KTCN1, CAASDS
keratosis follicularis;ATP2A2, ATP2B, DAR
lactose intolerance;MCM6
leprosy;TLR2, TIL4
leukocyte adhesion deficiency;ITGB2, CD18, LCAMB, LAD, SLC35C1, FUCT1, CDG2C, KIND3, URP2, MIG2B, FERMT3
limb-girdle muscular dystrophy;MYOT, TTOD, MFM3, LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B, CAPN3, CANP3, DYSF, LGMD2B, MMD1, SGCG, LGMD2C, DMDA1, SCG3, TRIM32, HT2A, LGMD2H, BBS11, SGCD, SGD, LGMD2F, CMD1L, TCAP, LGMD2G, CMD1N, DNAJB6, MRJ, DJ4, LGMD1E, SGCB, LGMD2E, FKRP, MDC1C, LGMD2I, MDDGA5, MDDGB5, MDDGC5, CAV3, LGMD1C, LQT9, SGCA, ADL, DAG2, LGMD2D, DMDA2, TNPO3, TRNSR, LGMD1F, TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC, HNRNPDL, HNRPDL, JKTBP, LGMD1G, POMT1, MDDGA1, MDDGB1, MDDGC1, ANO5, TMEM16E, GDD1, LGMD2L, FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4, POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, POMT2, MDDGA2, MDDGB2, MDDGC2, PLEC1, PLEC, PLTN, EBS1, LGMD2Q, DAG1, DAG, MDDGC9, DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R, GMPPB, KIAA1851, MDDGA14, MDDGB14, MDDGC14, TRAPPC11, C4orf41, LGMD2S
lipoid proteinosis;ECM1, URBWD
lissencephaly;RELN, RL, LIS2, DCX, DBCN, LISX, ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32, PAFAH1B1, LIS1, TUBA1A, TUBA3, LIS3, NDE1, NUDE, LIS4, MHAC, LAMB1, LIS5
long QT syndrome;KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9, KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2, CACNA1C, CACNL1A1, CCHL1A1, TS, SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2, CAV3, LGMD1C, LQT9, SCN4B, LQT10, ATFB17, AKAP9, YOTIAO, AKAP450, SNT1, LQT12, KCNJ5, GIRK4, KATP1, LQT13, ALG10, KCR1, KCNH2, LQT2, HERG, SQT1, KCNE2, MIRP1, LQT6, ATFB4, KCNE1, JLNS, LQT5, JLNS2
lung cancer;BRAF, NS7, CASP8, MCH5, ALPS2B, CYP2A6, CYP2A3, CYP2A, P450C2A, DLEC1, DLC1, EGFR, NISBD2, ERBB2, NGL, NEU, HER2, ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, FASLG, TNFSF6, APT1LG1, FASL, ALPS1B, IRF1, MAR, KRAS, KRAS2, RASK2, NS, CFC2, MAP3K8, COT, EST, TPL2, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, PPP2R1B, PRKN, PARK2, PDJ, LPRS2, RASSF1, SLC22A1L, BWSCR1A, IMPT1
lung small cell carcinoma;RB1
lymphoplasmacytic lymphoma;MYD88, MYD88D
lymphoproliferative disease;XIAP, BIRC4, API3, XLP2, SH2D1A, LYP, IMD5, XLP, XLPD1, ITK, EMT, LPFS1
macrocephaly;TBC1D7, PIG51, TBC7, MGCPH
macular corneal dystrophy;CHST6, MCDC1
malignant glioma;ERBB2, NGL, NEU, HER2, IDH1, TP53, P53, LFS1 , BCC7
malignant hyperthermia;RYR1, MHS, CCO
malignant mesothelioma;BCL10, IMD37, WT1, NPHS4
maple syrup urine disease;DLD, LAD, PHE3, DLDD, BCKDHA, MSUD1, BCKDHB, E1B, DBT, BCATE2
mastocytosis;KIT, PBT
maturity-onset diabetes of the young;HNF4A, TCF14, MODY1, FRTS4, GCK, HHF3, HNF1B, TCF2, HNF2, MODY5, FJHN, HPC11, HNF1A, TCF1, MODY3, IDDM20, IPF1, MODY4, PAGEN1, NEUROD1, NIDDM, CEL, BSSL, CELL, MODY8, KLF11, TIEG2, FKLF1, FKLF, MODY7, PAX4, MODY9, KPD, INS, MODY10, IDDM2, BLK, MODY11
medulloblastoma;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2, PTCH2, SUFU, SUFUXL, SUFUH
megaloblastic anemia;AMN, CUBN, IFCR, MGA1, DHFR
melanoma;PTEN, MMAC1, GLM2, CWS1
melorheostosis;LEMD3, MAN1
metachromatic leukodystrophy;PSAP, SAP1, ARSA
methylmalonic acidemia;MMAA, MMAB
methylmalonic aciduria and homocystinuria type cblC;MMACHC
methylmalonic aciduria and homocystinuria type cblD;C2orf25, MMADHC
methylmalonic aciduria and homocystinuria type cblF;LMBRD1, LMBD1, NESI, MAHCF
mevalonic aciduria;MVK, MVLK, POROK3
microcephaly;MCPH1, CASC5, AF15Q14, KIAA1570, D40, MCPH4, CDK5RAP2, KIAA1633, MCPH3, CENPJ, CPAP, MCPH6, SCKL4, ASPM, MCPH5, STIL, SIL, MCPH7
microcytic anemia;TMPRSS6, IRIDA
microphthalmia;SOX2, MCOPS3, BCOR, KIAA1575, MCOPS2, MAA2, ANOP2, HCCS, MCOPS7, STRA6, MCOPS9, MCOPCB8, BMP4, BMP2B1, BMP2B, MCOPS6, OFC11, MFRP, MCOP5, NNO2, CHX10, HOX10, MCOP2, MCOPCB3, OTX2, MCOPS5, CPHD6, RAX, RX, MCOP3, MFRP, MCOP5, NNO2, GDF6, MCOP4, KFS1, MCOPCB6, LCA17, GDF3, KFS3, MCOPCB6, MCOP7, TMEM98, NNO4
migraine;EDNRA, ESR1, ESR, ESTRR, TNF, TNFA
mitochondrial complex V (ATP synthase) deficiency, nuclear type 1;ATPAF2, ATP12, MC5DN1
monilethrix;KRT81, KRTHB1, HB1, KRT83, KRTHB3, HB3, KRT86, KRTHB6, HB6
mucolipidosis;MCOLN1, ML4
mucopolysaccharidosis;IDUA, IDA
mucopolysaccharidosis I;IDUA, IDA, IDUA, IDA, IDUA, IDA
mucopolysaccharidosis II;IDS, MPS2, SIDS
mucopolysaccharidosis III;SGSH, MPS3A, SFMD, NAGLU, MPS3B, HGSNAT, TMEM76, MPS3C, GNS, G6S
mucopolysaccharidosis IV;GALNS, MPS4A, GLB1, MPS4B
mucopolysaccharidosis IX;HYAL1, MPS9
mucopolysaccharidosis VI;ARSB, MPS6
mucosulfatidosis;SUMF1, FGE
mulibrey nanism;TRIM37, MUL, KIAA0898
multinodular goiter;DICER1, HERNA, KIAA0928, MNG1, RMSE2
multiple cutaneous and mucosal venous malformations;TEK, TIE2, VMCM
multiple epiphyseal dysplasia;COMP, EDM1, MED, PSACH, SLC26A2, DTD, DTDST, D5S1708, EDM4, COL9A2, EDM2, STL5, MATN3, EDM5, HOA, OS2, COL9A1, EDM6, STL4
multiple intestinal atresia;TTC7A, TTC7, KIAA1140, MINAT
multiple myeloma;CCND1, PRAD1, BCL1, LIG4, LIG4S
multiple sclerosis;HLA-DQB1, CELIAC1, HLA-DRB1, SS1, PDCD1, SLEB2
multiple synostoses syndrome;NOG, SYM1, SYNS1, GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B, FGF9, SYNS3
multiple system atrophy;COQ2, COQ10D1, MSA1
muscular dystrophy-dystroglycanopathy;POMT2, MDDGA2, MDDGB2, MDDGC2, POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4, FKRP, MDC1C, LGMD2I, MDDGA5, MDDGB5, MDDGC5, LARGE, KIAA0609, MDC1D, MDDGA6, MDDGB6, POMT1, MDDGA1, MDDGB1, MDDGC1, POMT2, MDDGA2, MDDGB2, MDDGC2, DAG1, DAG, MDDGC9, ISPD, MDDGA7, MDDGC7, POMGNT2, GTDC2, C3orf39, AGO61, MDDGA8, TMEM5, MDDGA10, B3GALNT2, MGC39558, MDDGA11, POMK, SGK196, MDDGA12, MDDGC12, B3GNT1, IGNT, IGAT, MDDGA13, GMPPB, KIAA1851, MDDGA14, MDDGB14, MDDGC14, GMPPB, KIAA1851, MDDGA14, MDDGB14, MDDGC14
myelofibrosis;CALR, SSA, JAK2, THCYT3, MPL, TPOR, MPLV, THCYT2, SH2B3, LNK
myopia;SCO2, CEMCOX1, MYP6, ZNF644, MYP21, CCDC111, MYP22, SLC39A5, MYP24
myotonic dystrophy type 1;DMPK, DM, DMK
myotonic dystrophy type 2;ZNF9, CNBP1, DM2, PROMM
myxoid liposarcoma;DDIT3, GADD153, CHOP10
nail-patella syndrome;LMX1B, NPS1
narcolepsy;HCRT, OX, NRCLP1, MOG, NRCLP7
nasopharynx carcinoma;MYO3A, DFNB30
nemaline myopathy;ACTA1, ASMA, NEM3, CFTD1, NEB, NEM2, TNNT1, ANM, NEM5, KBTBD13, NEM6, TPM3, NEM1, CFTD, CAPM1, TPM2, TMSB, AMCD1, DA1, DA2B, NEM4, CFL2, NEM7, KLHL41, KBTBD10, SARCOSIN, NEM9
nephroblastoma;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2, GPC3, SDYS, SGBS1, WT1, NPHS4
nephrogenic diabetes insipidus;AQP2, AVPR2, DIR, DI1, ADHR
nephronophthisis;NPHP1, NPH1, SLSN1, JBTS4, INVS, INV, NPHP2, NPH2, NPHP3, NPH3, RHPD1, MKS7, NPHP4, SLSN4, GLIS2, NPHP7, XPNPEP3, APP3, NPHPL1, TMEM67, MKS3, JBTS6, NPHP11, TTC21B, THM1, NPHP12, SRTD4, ATD4, NEK8, JCK, NPHP9, RHPD2, WDR19, SRTD5, ATD5, NPHP13, CED4, ZNF423, ZFP423, OAZ, KIAA0760, NPHP14, JBTS19, CEP164, KIAA1052, ANKS6, PKDR1, NPHP16, CEP83, CCDC41, NPHP18
nephrotic syndrome;NPHS1, NPHN, WT1, NPHS4, PDCN, NPHS2, SRN1, PLCE1, KIAA1516, NPHS3, PTPRO, GLEPP1, NPHS6, LAMB2, LAMS, NPHS5, DGKE, NPHS7, ARHGDIA, GDIA1, NPHS8, ADCK4, NPHS9, EMP2, NPHS10
neurilemmomatosis;NF2, SMARCB1, SNF5, INI1, RDT, RTPS1, MRD15, SWNTS1, LZTR1, SWNTS2
neuroblastoma;KIF1B, CMT2A, CMT2A1, NBLST1, NME1, NM23, PMX2B, NBPHOX, PHOX2B, NBLST2
neurofibromatosis;NF2, NF1, VRNF, WSS, NFNS, NF1, VRNF, WSS, NFNS
neurohypophyseal diabetes insipidus;AVP, AVRP, VP
neuronal ceroid lipofuscinosis;DNAJC5, DNAJC5A, CSP, CLN4B, CLN3, BTS, CLN6, CLN4A, TPP1, CLN2, SCAR7, PPT1, CLN1, CLN5, CLN8, EPMR, CLN6, CLN4A, CLN8, EPMR, CTSD, CPSD, CLN10, MFSD8, MGC33302, CLN7, CCMD, GRN, CLN11, CTSF, CLN13
neutral lipid storage disease;ABHD5, CGI58, IECN2, NCIE2
nevoid basal cell carcinoma syndrome;PTCH1, NBCCS, BCNS, HPE7, PTCH2, SUFU, SUFUXL, SUFUH
non-Hodgkin lymphoma;CASP10, MCH4, ALPS2, PRF1, HPLH2, FLH2, RAD54B, RAD54L, HR54, HRAD54
non-syndromic X-linked intellectual disability;IL1RAPL1, IL1R8, MRX21, MRX34, TSPAN7, TM4SF2, MXS1, A15, MRX58, RAB39B, MRX72, WSMN, ACSL4, FACL4, ACS4, MRX63, ARHGEF6, MRX46, COOL2, ZNF81, MRX45, PAK3, MRX30, MRX47, ZDHHC15, MRX91, BRWD3, MRX93, SYP, MRXSYP, ZNF711, ZNF6, CMPX1, MRX97, RPS6KA3, RSK2, MRX19, GDI1, RABGD1A, MRX41, MRX48, DLG3, NEDLG, SAP102, MRX90, KIAA2022, MRX98, USP9X, DFFRX, MRX99, KIF4A, KIF4, MRX100, IQSEC2, KIAA0522, MRX1, FTSJ1, JM23, SPB1, MRX44, MRX9
non-syndromic intellectual disability;TRAPPC9, NIBP, KIAA1882, MRT13, MAN1B1, MRT15
nonepidermolytic palmoplantar keratoderma;KRT1, EPPK, NEPPK, EHK, KRT16, FNEPPK, PC1, KRT6C, PPKNEFD
nonpapillary renal cell carcinoma;DIRC2, RCC4, FLCN, BHD, HNF1A, TCF1, MODY3, IDDM20, HNF1B, TCF2, HNF2, MODY5, FJHN, HPC11, OGG1, RNF139, TRC8, RCA1, VHL
nonphotosensitive trichothiodystrophy;MPLKIP, C7orf11, ABHS, TTDN1
obesity;ADRB2, ADRB3, AGRP, ART, AGRT, CART, ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED, GHRL, MC4R, NR0B2, SHP, POMC, PPARG, PPARG1, PPARG2, CIMT1, GLM1, PPARGC1B, PGC1B, PERC, PYY, SDC3, SYND3, SDCN, SIM1, UCP1, UCP3
occult macular dystrophy;RP1L1
ocular albinism;GPR143, OA1, NYS6
oculocerebrorenal syndrome;OCRL, LOCR, OCRL1, NPHL2
oculocutaneous albinism;TYR, SHEP3, CMM8, OCA1A, ATN, MC1R, SHEP2, CMM5, OCA2, P, PED, D15S12, BOCA, EYCL3, HCL3, SHEP1, TYRP1, CAS2, GP75, SHEP11, SLC45A2, MATP, AIM1, SHEP5, OCA4, TYR, SHEP3, CMM8, OCA1A, ATN, ABCC6, ARA, ABC34, MLP1, PXE, GACI2
oculodentodigital dysplasia;GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR
oculopharyngeal muscular dystrophy;PABPN1, PABP2, PAB2
olivopontocerebellar atrophy;ATXN1, ATX1, SCA1, ATXN7, SCA7, OPCA3, ATXN2, ATX2, SCA2, ASL13
omodysplasia;GPC6, OMIMD1
open-angle glaucoma;MYOC, TIGR, GLC1A, JOAG, GPOA, WDR36, TAWDRP, GLC1G, NTF4 , NTF5, NT5, NT4, GLC1O
optic atrophy;OPA3, MGA3, OPA1, NTG, NPG
ornithine carbamoyltransferase deficiency;OTC
ornithine translocase deficiency;SLC25A15, ORNT1, HHH
orofacial cleft;BMP4, BMP2B1, BMP2B, MCOPS6, OFC11, IRF6, VWS, LPS, PIT, PPS1, OFC6, MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3, SUMO1, UBL1, SMT3, OFC10
orofaciodigital syndrome;OFD1, CXorf5, SGBS2, JBTS10, RP23
orotic aciduria;UMPS, OPRT
osteoarthritis;MATN3, EDM5, HOA, OS2, FRZB, FRZB1, SRFP3, OS1, ASPN, PLAP1, OS3
osteochondritis dissecans;ACAN, AGC1, CSPG1, MSK16, SEDK
osteogenesis imperfecta;COL1A1, COL1A1, COL1A2, COL1A1, COL1A2, COL1A1, COL1A2, PPIB, CYPB, OI9, CRTAP, CASP, OI7, P3H1, LEPRE1, GROS1, OI8, IFITM5, OI5, FKBP10, FKBP65, OI11, BRKS1, SERPINH1, SERPINH2, PPROM, CBP2, CBP1, OI10, SP7, OSX, OI12, SERPINF1, PEDF, OI6, BMP1, OI13, WNT1, INT1, OI15, BMND16
osteopetrosis;CLCN7, CLC7, OPTA2, OPTB4, TCIRG1, TIRC7, OC116, OPTB1, TNFSF11, OPGL, TRANCE, OPTB2, OSTM1, GL, OPTB5, CA2, LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, CLCN7, CLC7, OPTA2, OPTB4, PLEKHM1, AP162, KIAA0356, OPTB6, TNFRSF11A, RANK, ODFR, OFE, OPTB7, SNX10, OPTB8
osteoporosis;BMND7, BMND8, CALCR, CRT, COL1A1, COL1A2, LRP5, BMND1, LRP7, LR3, OPPG, VBCH2, OPTA1, EVR4, RIL, VDR
osteosarcoma;CHEK2, RAD53, CHK2, CDS1, LFS2, RB1, TP53, P53, LFS1 , BCC7
otospondylomegaepiphyseal dysplasia;COL11A2, STL3, DFNA13, DFNB53, FBCG2, COL2A1
ovarian cancer;AKT1, CWS6, CDH1, UVO, LCAM, ECAD, CTNNB1, MRD19, OPCML, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, PRKN, PARK2, PDJ, LPRS2
ovarian hyperstimulation syndrome;FSHR, ODG1
pachyonychia congenita;KRT16, FNEPPK, PC1, KRT17, PC2, PCHC1
pancreatic agenesis;IPF1, MODY4, PAGEN1
pancreatic cancer;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2
pancreatic carcinoma;KRAS, KRAS2, RASK2, NS, CFC2, MADH4, DPC4, SMAD4, JIP, MYHRS, STK11, PJS, LKB1, TP53, P53, LFS1 , BCC7
panic disorder;COMT
pantothenate kinase-associated neurodegeneration;PANK2, NBIA1, PKAN, HARP
papillary renal cell carcinoma;MET, PRCC, RCCP1
papillary thyroid carcinoma;CCDC6, D10S170, H4, TST1, PTC, TPC, GOLGA5, RFG5, PTC5, NCOA4, ELE1, PTC3, PCM1, PTC4, PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1, TRIM24, TIF1, TIF1A, PTC6, TRIM33, TIF1G, RFG7, PTC7
paraganglioma;SDHD, PGL1, CWS3, SDHAF2, SDH5, PGL2, SDHC, PGL3, SDHA, SDH1, SDHF, CMD1GG, PGL5
parathyroid carcinoma;HRPT2, C1orf28
parietal foramina;MSX2, CRS2, HOX8, ALX4, PFM2, FPP, FND2, CRS5
paroxysmal nocturnal hemoglobinuria;PIGA, PNH1, MCAHS2, PIGT, NDAP, PNH2, MCAHS3
partial central choroid dystrophy;PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
peeling skin syndrome;CDSN, HTSS1, HYPT2, PSS1
peripheral primitive neuroectodermal tumor;EWSR1, EWS
periventricular nodular heterotopia;FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, ARFGEF2, BIG2, PVNH2, ERMARD, C6orf70, PVNH6
peroxisomal acyl-CoA oxidase deficiency;ACOX1, ACOX, SCOX
persistent fetal circulation syndrome;FOXF1, FKHL5, ACDMPV
persistent hyperplastic primary vitreous;ATOH7, PHPVAR, NCRNA
persistent mullerian duct syndrome;AMH, MIF, AMHR2, AMHR
phaeochromocytoma;GDNF, HSCR3, KIF1B, CMT2A, CMT2A1, NBLST1, MAX, RET, MEN2A, HSCR1, SDHB, SDH2, SDHIP, PGL4, CWS2, SDHD, PGL1, CWS3, TMEM127, VHL
phenylketonuria;PAH, PKU1
photosensitive trichothiodystrophy;ERCC2, EM9, XPD, COFS2, ERCC3, XPB, GTF2H5, TTDA, TFB5, C6orf175
piebaldism;KIT, PBT, SNAI2, SLUG, WS2D
pilomatrixoma;CTNNB1, MRD19, MUTYH, MYH
pityriasis rubra pilaris;CARD14, CARMA2, BIMP2, PSORS2, PSS1, PRP
pleomorphic adenoma;PLAG1, SGPA, PSA
pleuropulmonary blastoma;DICER1, HERNA, KIAA0928, MNG1, RMSE2
polycystic kidney disease;PKD1, PKD1, FCYT, PKHD1, ARPKD, PKD2
polycystic liver disease;PRKCSH, G19P1, PCLD, SEC63, PRKCSH, G19P1, PCLD, SEC63
polycythemia vera;JAK2, THCYT3
polydactyly;GLI3, PAPA, PAPB, LMBR1, ACHP, C7orf2, PPD2, THYP, LSS, GLI3, PAPA, PAPB
pontocerebellar hypoplasia type 10;CLP1, HEAB, PCH10
pontocerebellar hypoplasia type 1A;VRK1, PCH1A
pontocerebellar hypoplasia type 1B;EXOSC3, RRP40, PCH1B
pontocerebellar hypoplasia type 2A;TSEN54, SEN54, PCH2A, PCH4, PCH5
pontocerebellar hypoplasia type 2B;TSEN2, SEN2, PCH2B
pontocerebellar hypoplasia type 2C;TSEN34, PCH2C, LENG5, SEN34
pontocerebellar hypoplasia type 2D;SEPSECS, SLA, LP, PCH2D
pontocerebellar hypoplasia type 2E;VPS53, HCCS1, PCH2E
pontocerebellar hypoplasia type 4;TSEN54, SEN54, PCH2A, PCH4, PCH5
pontocerebellar hypoplasia type 5;TSEN54, SEN54, PCH2A, PCH4, PCH5
pontocerebellar hypoplasia type 6;RARS2, RARSL, PCH6
pontocerebellar hypoplasia type 8;CHMP1A, PCOLN3, PRSM1, PCH8
pontocerebellar hypoplasia type 9;AMPD2, SPG63, PCH9
popliteal pterygium syndrome;IRF6, VWS, LPS, PIT, PPS1, OFC6, RIPK4, NKRD3, DIK, PPS2
porencephaly;COL4A1, POREN1, HANAC, ICH, BSVD, COL4A2, POREN2, ICH
porphyria cutanea tarda;HFE, HLA-H, HFE1, MVCD7, TFQTL2, UROD
port-wine stain;GNAQ, SWS, CMC1
posterior polar cataract;EPHA2, ECK, ARCC2, CTPP1, CTPA, ARCC2, CTRCT6, CHMP4B, SNF7, CTPP3, CTRCT31, PITX3, CTPP4, CTRCT11, CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2
pre-eclampsia;EPHX1, NOS3, STOX1, PEE4, FGFR2, BEK, CFD1, JWS, TK14, BBDS
premature ovarian failure;BMP15, GDF9B, ODG2, POF4, DIAPH2, DIA, POF2, FLJ22792, POF1B, POF2B, FMR1, FRAXA, POF1, FOXL2, BPES, BPES1, PFRK, POF3, NOBOX, POF5, FIGLA, POF6, NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8, STAG3, POF8, HFM1, MER3, POF9
primary ciliary dyskinesia;DNAI1, CILD1, ICS, PCD, DNAAF3, PF22, DAB1, CILD2, DNAH5, HL1, PCD, CILD3, HYDIN, HYDIN1, CILD5, NME8, TXNDC3, SPTRX2, CILD6, DNAH11, DNAHC11, CILD7, DNAHBL, DNAI2, CILD9, KTU, C14orf104, CILD10, RSPH4A, CILD11, RSPH9, CILD12, LRRC50, ODA7, CILD13, CCDC39, CCDC40, KIAA1640, DNAL1, C14orf168, CILD16, CCDC103, SMH, PR46B, CILD17, HEATR2, CILD18, LRRC6, LRTP, CILD19, CCDC114, CILD20, DRC1, CCDC164, C2orf39, CILD21, ZMYND10, BLU, ARMC4, CILD23, RSPH1, TSGA2, TSA2, CILD24, DYX1C1, DYXC1, DYX1, CILD25, C21ORF59, CILD26, CCDC65, CILD27, SPAG1, CILD28, CCNO, UNG2, CILD29
primary congenital glaucoma;LTBP2, LTBP3, GLC3D, MSPKA, WMS3
primary cutaneous amyloidosis;OSMR, OSMRB, PLCA1, IL31RA, GLMR, GPL, PLCA2
primary hyperoxaluria;GRHPR, GLXR, HOGA1, DHDPSL, HP3
primary hypertrophic osteoarthropathy;HPGD, PGDH1, PHOAR1
primary open angle glaucoma;OPTN, GLC1E, FIP2, HYPL, NRP, ALS12
primary pigmented nodular adrenocortical disease;PDE11A, PDE11A1, PDE11A2, PDE11A3, PPNAD2, PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1, PDE8B, PPNAD3, ADSD, PRKACA
primary pulmonary hypertension;BMPR2, PPH1, POVD1, MADH9, SMAD9, MADH6, PPH2, CAV1, BSCL3, CGL3, PPH3, LCCNS
progeria;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B
progressive myoclonus epilepsy;SCARB2, CD36L2, LIMPII, AMRF, EPM4, KCTD7, EPM3, CLN14, PRICKLE1, RILP, EPM1B, PRICKLE2, EPM5, GOSR2, GS27, EPM6
progressive supranuclear palsy;MAPT, MTBT1, DDPAC, MSTD
prolactinoma;AIP, XAP2, ARA9
propionic acidemia;PCCA, PCCB
prostate cancer;AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1, BRCA2, FANCD1, BROVCA2, GLM3, PNCA2, CD82, SAR2, KAI1, ST6, CDH1, UVO, LCAM, ECAD, CHEK2, RAD53, CHK2, CDS1, LFS2, HIP1, HPC3, HPC4, HPC5, HPC6, HPCQTL19, KLF6, COPEB, BCD1, ZF9, MAD1L1, TXBP181, MSR1, SCARA1, SRA, MXI1, PCAP, PTEN, MMAC1, GLM2, CWS1, ZFHX3, ATBF1, RNASEL, RNS4, PRCA1, HPC1
prothrombin deficiency;F2, THPH1, RPRGL2
proximal symphalangism;NOG, SYM1, SYNS1
pseudo-TORCH syndrome;OCLN, BLCPMG
pseudoachondroplasia;COMP, EDM1, MED, PSACH
pseudohypoparathyroidism;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C, GNASAS1, GNASAS, SANG, NESPAS, STX16, SYN16, GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C
pseudopseudohypoparathyroidism;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C
pseudoxanthoma elasticum;ABCC6, ARA, ABC34, MLP1, PXE, GACI2, ABCC6, ARA, ABC34, MLP1, PXE, GACI2, XYLT1, XT1, DBQD2, XYLT2, XT2
psoriasis;HLA-C, PSORS1
pulmonary alveolar microlithiasis;SLC34A2
pulmonary alveolar proteinosis;SFTPB, SFTB3, SMDP1, CSF2RA, SMDP4, SFTPC, SFTP2, SMDP2, ABCA3, ABC3, SMDP3, CSF2RB, SMDP5
pulmonary venoocclusive disease;BMPR2, PPH1, POVD1
purine nucleoside phosphorylase deficiency;PNP, NP
pyridoxine-refractory autosomal recessive sideroblastic anemia;GLRX5, C14orf87, PRO1238, FLB4739, PRSA, SLC25A38
