disorder;gene_symb
Leigh disease;LRPPRC, LRP130, LSFC, BCS1L, FLNMS, GRACILE, BJS, PTD, MC3DN1, COX10, COX15, CEMCOX2, FOXRED1, NDUFA10, NDUFA12, NDUFA2, NDUFA9, NDUFAF2, NDUFA12L, MMTN, B17.2L, NDUFAF6, C8orf38, NDUFS3, NDUFS4, AQDQ, NDUFS7, PSST, NDUFS8, SDHA, SDH1, SDHF, CMD1GG, PGL5, SURF1
Lesch-Nyhan syndrome;HPRT1, HPRT
Lewy body dementia;GBA, SNCA, NACP, PARK1, PARK4, SNCB
Li-Fraumeni syndrome;TP53, P53, LFS1 , BCC7, CHEK2, RAD53, CHK2, CDS1, LFS2
Liddle syndrome;SCNN1B, BESC1, SCNN1G, PHA1, BESC3
Loeys-Dietz syndrome;TGFBR1, ALK5, AAT5, LDS1, MSSE, TGFBR2, HNPCC6, AAT3, MFS2, LDS2, SMAD3, MADH3, LDS3, TGFB2, LDS4
Lynch syndrome;MSH2, COCA1, FCC1, HNPCC1, MLH1, COCA2, HNPCC2, EPCAM, ACSTD1, TROP1, M4S1, MIC18, DIAR5, HNPCC8
MASA syndrome;L1CAM, CAML1, HSAS1, MASA, SPG1
MEN2A;RET, MEN2A, HSCR1
MEN2B;RET, MEN2A, HSCR1
MHC class I deficiency;TAP1, ABCB2, TAP1, RING4, PSF1, TAP2, ABCB3, PSF2, RING11, TAPBP, TPSN
MHC class II deficiency;MHC2TA, C2TA, RFX5, RFXANK, RFXAP
Machado-Joseph disease;ATXN3, MJD, SCA3
Majewski syndrome;NEK1, SRTD6, SRPS2A
Marfan syndrome;FBN1, MFS1, WMS2, SSKS, GPHYSD2, ACMICD, ECTOL1
Marshall-Smith syndrome;NFIX, NF1A, SOTOS2, MRSHSS
Mast syndrome;ACP33, MAST, SPG21
Matthew-Wood syndrome;STRA6, MCOPS9, MCOPCB8
